category,name,rating,originalRating,reviewTitle,reviewContent,likeCount,upVotes
beli-harddisk-eksternal,yusuf,5,,Yang bener yang mana? I5 apa i7??,,1,1
beli-harddisk-eksternal,Wulandary,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Guest,4,,Cicilan,Klo dp1jt tanpa kartu kredit bisa gk? Brp bln pembayarannya dan sebulannya brp? -TerimaKsh,5,5
beli-harddisk-eksternal,Lazada Guest,1,,,untuk pemasangan di tembok apa ad pihak dari lazada yg memasang'a ? terima kasih,0,0
beli-harddisk-eksternal,I K.,5,,null,null,0,0
beli-harddisk-eksternal,Yoga T.,5,,Sesuai Dengan yang tertera,"Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",2,2
beli-harddisk-eksternal,Heri K.,5,,mantap,barang sesuai dengan gambar,0,0
beli-harddisk-eksternal,Lazada Guest,4,,Respon penjualan yg baik,"HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",1,1
beli-harddisk-eksternal,ACHMAD F.,5,,TOP,"Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Era A.,5,,null,null,0,0
beli-harddisk-eksternal,Bilqis,5,,Sip,Oke,0,0
beli-harddisk-eksternal,Dimas D.,5,,Kepuasan & Ketidakpuasan,"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",0,0
beli-harddisk-eksternal,Pembeli,4,,Bagus,Barang diterima dengan kondisi yang baik tapi packagingnya kurang,0,0
beli-harddisk-eksternal,KHAIRUNNISA.SYAN,5,,SESUIA DENGAN FOTO,"Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",0,0
beli-harddisk-eksternal,Devi P.,5,,null,null,0,0
beli-harddisk-eksternal,hady,5,,null,null,0,0
beli-harddisk-eksternal,Naufal Y.,5,,null,null,0,0
beli-harddisk-eksternal,Antonio G.,5,,null,"Flashdisk ori, Packing bagus. Saya suka.Thx",0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,aman cepat pula,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,4,,null,Bagus ori kok cuma hanya aja 58 gb:( klo 63 gpp hilang 1 gb,0,0
beli-harddisk-eksternal,Ririn S.,1,,null,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,0,0
beli-harddisk-eksternal,Asrinur A.,5,,null,"Baguss bangett kurir nya jga ramah, cakep pula wkwk. Ini 64gb tp cmn 58 sekian gb tp gpp lah yah... Pokok nya recomended deh....",0,0
beli-harddisk-eksternal,ucen W.,5,,null,produk dah sampai kemasan rapih pengiriman cepat barang  bagus pembayaran cod tidak perlu diragukan lagi 👍👍,0,0
beli-harddisk-eksternal,ucen W.,5,,null,barangnya bagus banget.. sesuai dengan gambar dn deskripsi.. pengiriman cepat.. bagus dn recomended bangt..👍,0,0
beli-harddisk-eksternal,Andre A.,5,,null,"packing tanpa bubble warp. fisik no minus. Cuma 58 GB, bukan 64. ya lumayan",0,0
beli-harddisk-eksternal,Hendrii R.,5,,null,barang ok .. packing Rapii .. Kurir nya Ramahh .. Puass ..,0,0
beli-harddisk-eksternal,muchamad R.,5,,null,produk original mantap semoga awet,0,0
beli-harddisk-eksternal,Budi,5,,null,baik. sesuai ekspektasi.,1,1
beli-harddisk-eksternal,Lazada Customer,5,,null,👍👍👍,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,4,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Brian A.,5,,null,null,0,0
beli-harddisk-eksternal,pratiwi,5,,null,null,0,0
beli-harddisk-eksternal,Dede A.,5,,null,null,0,0
beli-harddisk-eksternal,Izzal R.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,Barang nya oke makasih,0,0
beli-harddisk-eksternal,Ahmad K.,5,,null,Tumben ninja cepat pengirimannya,0,0
beli-harddisk-eksternal,Sudarso,5,,null,null,0,0
beli-harddisk-eksternal,ganirogy,5,,null,barang asli dan original terimakasih maju terus toko jet store,0,0
beli-harddisk-eksternal,Fadhila U.,5,,null,"Flashdisk nya bagus, sesuai picture, barang cepat sampai, kurir ramah",0,0
beli-harddisk-eksternal,ferry P.,5,,null,oke... mudah2an awet dan ga crash belum sempet d coba,0,0
beli-harddisk-eksternal,wisnu D.,5,,null,kapasitas cumA 58 gb ajaaaaa....  huft...,0,0
beli-harddisk-eksternal,Lazada Customer,4,,null,katanya 64 GB nyatanya cuman 58 GB,0,0
beli-harddisk-eksternal,Irine S.,5,,null,"thks ya barang sdh sampai,smga cocok",0,0
beli-harddisk-eksternal,Winarso Y.,5,,null,siippp...thank lazada,0,0
beli-harddisk-eksternal,Irman A.,5,,null,udah di trima ...barang OK Moga awet...,0,0
beli-harddisk-eksternal,Indra S.,5,,null,josss tenan,0,0
beli-harddisk-eksternal,lidia M.,5,,null,null,0,0
beli-harddisk-eksternal,Samuel P.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Herlina L.,5,,null,null,0,0
beli-harddisk-eksternal,Recvy,5,,null,"Ini ori, bagus tahan lama masih saya pake",0,0
beli-harddisk-eksternal,Sucipto B.,1,,null,kampret kaga kebaca!!,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Ari A.,5,,null,null,0,0
beli-harddisk-eksternal,Sandi,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,GOOD,barang bagus quick respon hari ini pesan besok sudah sampai,0,0
beli-harddisk-eksternal,Asep P.,4,,null,null,0,0
beli-harddisk-eksternal,Muhammad I.,4,,null,null,0,0
beli-harddisk-eksternal,Tarmudi,5,,,brang cukup bagus,0,0
beli-harddisk-eksternal,Reuther J.,5,,null,null,0,0
beli-harddisk-eksternal,Siti F.,5,,null,null,0,0
beli-harddisk-eksternal,Mhd W.,5,,null,null,0,0
beli-harddisk-eksternal,Dias P.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,3,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,Sip mantap,0,0
beli-harddisk-eksternal,bay H.,5,,null,null,0,0
beli-harddisk-eksternal,purwati,5,,null,null,0,0
